PRECIPITACAO_TOTAL_HORARIO_mm,TEMPERATURA_DO_AR_BULBO_SECO_HORARIA,UMIDADE_RELATIVA_DO_AR_HORARIA_porcent,VENTO_DIRECAO_HORARIA
0.0,25.4,59.0,343.0
0.0,25.0,54.0,17.0
0.0,22.9,67.0,51.0
0.0,21.4,73.0,348.0
0.0,23.2,64.0,340.0
0.0,23.5,63.0,351.0
0.0,22.9,66.0,27.0
0.0,21.1,80.0,273.0
0.0,19.9,87.0,266.0
0.0,20.3,86.0,338.0
0.0,19.6,90.0,46.0
0.0,19.5,90.0,259.0
0.0,20.1,86.0,95.0
0.2,19.8,89.0,97.0
4.0,17.7,93.0,288.0
0.0,17.2,88.0,337.0
0.0,17.1,91.0,288.0
0.0,17.0,90.0,134.0
0.2,16.5,91.0,204.0
0.0,17.8,93.0,12.0
0.0,20.1,81.0,125.0
0.0,21.4,75.0,112.0
0.0,22.5,74.0,111.0
0.0,24.0,72.0,99.0
0.0,24.2,64.0,91.0
0.0,22.2,76.0,279.0
18.6,20.2,88.0,49.0
0.0,22.6,76.0,30.0
0.0,24.5,64.0,12.0
0.0,25.2,53.0,52.0
0.0,19.7,78.0,334.0
0.0,18.8,82.0,285.0
0.0,19.1,82.0,188.0
0.0,19.1,84.0,33.0
0.0,19.1,87.0,170.0
0.0,19.0,85.0,355.0
0.0,17.8,90.0,265.0
0.0,17.6,92.0,294.0
0.0,17.8,90.0,337.0
0.0,17.9,90.0,325.0
0.2,18.5,90.0,133.0
0.0,18.0,92.0,154.0
0.0,18.1,91.0,126.0
0.0,18.3,92.0,150.0
0.0,20.4,80.0,136.0
0.0,21.6,70.0,97.0
0.0,22.7,67.0,69.0
0.0,24.3,58.0,47.0
0.0,25.3,54.0,65.0
0.0,25.7,51.0,59.0
0.0,25.8,50.0,45.0
0.0,26.9,44.0,87.0
0.0,27.3,44.0,103.0
0.0,26.7,47.0,102.0
0.0,25.6,46.0,103.0
0.0,24.6,46.0,107.0
0.0,23.0,63.0,119.0
0.0,22.1,69.0,124.0
0.0,21.8,70.0,123.0
0.0,21.3,70.0,121.0
0.0,20.6,72.0,101.0
0.0,20.3,71.0,107.0
0.0,20.3,70.0,111.0
0.0,19.4,75.0,136.0
0.0,20.0,70.0,106.0
0.0,20.0,70.0,100.0
0.0,19.1,76.0,103.0
0.0,20.1,76.0,87.0
0.0,21.9,72.0,87.0
0.0,23.4,68.0,81.0
0.0,23.9,65.0,72.0
0.0,25.0,65.0,84.0
0.0,25.8,61.0,86.0
0.0,26.2,57.0,98.0
0.0,27.0,52.0,106.0
0.0,26.5,54.0,104.0
0.0,26.6,54.0,115.0
0.0,26.1,54.0,97.0
0.0,24.9,57.0,115.0
0.0,24.0,65.0,119.0
0.0,23.1,67.0,103.0
0.0,22.9,68.0,102.0
0.0,22.3,71.0,109.0
0.0,21.9,75.0,112.0
0.0,21.3,77.0,105.0
0.0,20.9,78.0,106.0
0.0,20.4,80.0,99.0
0.0,19.5,83.0,95.0
0.0,19.5,83.0,88.0
0.0,19.2,85.0,79.0
0.0,19.0,84.0,75.0
0.0,20.2,79.0,72.0
0.0,21.6,74.0,57.0
0.0,22.9,66.0,79.0
0.0,23.8,63.0,86.0
0.0,24.5,63.0,89.0
0.0,24.7,61.0,95.0
0.0,25.9,49.0,112.0
0.0,26.6,46.0,100.0
0.0,26.8,45.0,102.0
0.0,27.1,45.0,103.0
0.0,26.3,46.0,92.0
0.0,25.2,48.0,95.0
0.0,23.8,53.0,98.0
0.0,23.0,58.0,106.0
0.0,21.9,63.0,109.0
0.0,21.1,64.0,126.0
0.0,20.5,68.0,115.0
0.0,20.2,69.0,101.0
0.0,19.9,69.0,113.0
0.0,19.9,68.0,100.0
0.0,19.4,71.0,98.0
0.0,19.1,72.0,117.0
0.0,18.8,73.0,103.0
0.0,16.8,81.0,126.0
0.0,18.3,82.0,177.0
0.0,21.0,67.0,124.0
0.0,22.8,59.0,87.0
0.0,24.1,55.0,43.0
0.0,24.5,53.0,23.0
0.0,25.0,51.0,357.0
0.0,26.0,42.0,287.0
0.0,25.7,50.0,355.0
0.0,24.8,61.0,304.0
0.0,24.2,63.0,288.0
0.0,22.2,61.0,271.0
0.0,20.6,66.0,291.0
0.0,19.6,69.0,304.0
0.0,19.0,71.0,272.0
0.0,18.9,75.0,173.0
0.0,17.8,80.0,27.0
0.0,17.2,84.0,356.0
0.0,16.7,87.0,265.0
0.0,17.0,86.0,55.0
0.0,17.2,86.0,328.0
0.0,17.2,87.0,157.0
0.0,16.4,89.0,94.0
0.0,16.2,90.0,50.0
0.0,16.0,92.0,262.0
0.0,21.3,69.0,135.0
0.0,22.1,65.0,85.0
0.0,23.6,58.0,5.0
0.0,24.5,53.0,36.0
0.0,26.0,50.0,44.0
0.0,26.6,45.0,5.0
0.0,26.8,47.0,352.0
0.0,26.9,43.0,25.0
0.0,23.4,61.0,150.0
0.4,19.5,85.0,303.0
6.0,17.7,92.0,309.0
0.4,18.8,88.0,354.0
0.4,18.7,90.0,326.0
0.0,18.0,93.0,336.0
0.0,18.0,92.0,159.0
0.0,18.0,93.0,7.0
0.0,18.1,91.0,119.0
0.0,17.8,92.0,146.0
0.0,17.7,92.0,114.0
0.0,17.3,92.0,197.0
0.0,17.0,92.0,182.0
0.0,17.6,88.0,30.0
0.0,16.8,91.0,37.0
0.0,17.2,86.0,31.0
0.2,18.6,89.0,158.0
0.2,19.1,86.0,85.0
0.2,21.5,80.0,65.0
0.0,20.9,79.0,43.0
0.0,19.6,80.0,11.0
0.6,19.2,84.0,7.0
0.0,20.9,76.0,334.0
0.0,22.0,64.0,350.0
0.0,22.1,63.0,349.0
0.0,21.9,64.0,342.0
0.0,21.5,67.0,354.0
0.0,20.7,71.0,314.0
0.0,19.5,77.0,336.0
0.0,17.9,87.0,316.0
0.0,17.8,90.0,263.0
0.0,18.3,88.0,108.0
0.0,17.2,91.0,313.0
0.0,17.0,92.0,310.0
0.0,16.6,93.0,303.0
0.0,16.6,93.0,131.0
0.0,17.2,93.0,333.0
0.0,17.1,92.0,182.0
0.0,17.2,93.0,142.0
0.0,17.3,91.0,155.0
0.0,18.2,91.0,135.0
0.0,19.9,79.0,118.0
0.0,21.2,73.0,152.0
0.0,24.3,62.0,116.0
0.0,24.8,67.0,88.0
0.0,25.3,61.0,89.0
0.0,26.9,55.0,89.0
0.0,25.4,56.0,51.0
0.0,21.3,77.0,221.0
0.0,20.7,75.0,238.0
0.0,20.8,78.0,3.0
0.0,21.0,77.0,355.0
0.0,20.5,82.0,157.0
0.0,19.7,82.0,190.0
0.0,19.3,86.0,294.0
0.0,19.4,87.0,173.0
0.0,19.0,89.0,180.0
0.0,19.0,90.0,187.0
0.0,19.2,88.0,173.0
0.0,19.3,85.0,170.0
0.0,18.7,86.0,156.0
0.0,18.0,86.0,92.0
0.0,17.3,88.0,167.0
0.2,18.0,85.0,137.0
0.0,19.3,80.0,133.0
0.0,22.3,71.0,96.0
0.0,20.7,75.0,46.0
0.0,22.9,70.0,66.0
0.0,24.8,60.0,58.0
0.0,25.4,58.0,71.0
0.0,27.3,53.0,51.0
0.0,27.0,50.0,111.0
0.0,27.6,49.0,84.0
0.0,27.9,51.0,73.0
0.0,27.5,50.0,85.0
0.0,26.3,53.0,86.0
0.0,25.3,57.0,97.0
0.0,23.7,64.0,85.0
0.0,23.1,68.0,80.0
0.0,22.6,69.0,79.0
0.0,21.1,75.0,72.0
0.0,18.9,83.0,135.0
0.0,19.5,82.0,164.0
0.0,18.7,84.0,166.0
0.0,19.9,79.0,112.0
0.0,18.7,81.0,139.0
0.0,17.9,86.0,159.0
0.0,17.7,86.0,156.0
0.0,21.6,72.0,117.0
0.0,22.4,71.0,117.0
0.0,24.0,63.0,124.0
0.0,25.3,56.0,89.0
0.0,25.5,53.0,89.0
0.0,26.8,40.0,107.0
0.0,27.8,36.0,63.0
0.0,27.3,35.0,81.0
0.0,28.2,35.0,103.0
0.0,27.3,37.0,110.0
0.0,27.3,36.0,103.0
0.0,26.1,42.0,83.0
0.0,24.8,48.0,115.0
0.0,23.8,52.0,99.0
0.0,23.4,51.0,93.0
0.0,22.9,52.0,100.0
0.0,22.2,55.0,94.0
0.0,21.1,58.0,101.0
0.0,20.7,57.0,106.0
0.0,19.7,61.0,129.0
0.0,16.9,71.0,107.0
0.0,17.6,77.0,61.0
0.0,17.9,77.0,116.0
0.0,17.6,75.0,288.0
0.0,19.7,74.0,99.0
0.0,23.0,48.0,92.0
0.0,23.2,48.0,70.0
0.0,24.8,46.0,86.0
0.0,26.2,41.0,92.0
0.0,26.7,36.0,56.0
0.0,26.5,38.0,68.0
0.0,26.5,34.0,31.0
0.0,28.0,34.0,62.0
0.0,27.5,36.0,98.0
0.0,26.8,37.0,116.0
0.0,25.9,39.0,94.0
0.0,24.6,45.0,92.0
0.0,23.4,53.0,89.0
0.0,23.0,54.0,69.0
0.0,21.1,62.0,111.0
0.0,20.6,66.0,130.0
0.0,19.7,71.0,150.0
0.0,18.4,75.0,141.0
0.0,17.6,78.0,177.0
0.0,17.8,77.0,113.0
0.0,17.1,79.0,113.0
0.0,18.1,75.0,137.0
0.0,15.8,88.0,82.0
0.0,20.9,65.0,146.0
0.0,22.3,56.0,95.0
0.0,23.6,53.0,83.0
0.0,25.3,52.0,86.0
0.0,25.8,50.0,104.0
0.0,27.0,48.0,87.0
0.0,27.3,41.0,74.0
0.0,27.8,39.0,70.0
0.0,27.1,39.0,57.0
0.0,28.3,33.0,77.0
0.0,28.7,35.0,104.0
0.0,26.7,42.0,97.0
0.0,25.5,45.0,109.0
0.0,24.3,52.0,118.0
0.0,24.1,50.0,97.0
0.0,23.4,52.0,105.0
0.0,22.7,55.0,112.0
0.0,22.3,56.0,106.0
0.0,20.0,65.0,104.0
0.0,18.6,75.0,130.0
0.0,21.1,60.0,120.0
0.0,20.0,67.0,109.0
0.0,16.7,82.0,238.0
0.0,20.6,60.0,98.0
0.0,22.9,54.0,132.0
0.0,22.8,54.0,89.0
0.0,24.7,49.0,70.0
0.0,26.1,42.0,74.0
0.0,27.4,38.0,51.0
0.0,26.6,37.0,92.0
0.0,28.4,32.0,95.0
0.0,28.1,34.0,100.0
0.0,29.6,32.0,98.0
0.0,29.0,31.0,118.0
0.0,28.1,33.0,75.0
0.0,27.1,35.0,82.0
0.0,26.1,37.0,87.0
0.0,24.7,42.0,86.0
0.0,24.2,44.0,94.0
0.0,23.9,44.0,103.0
0.0,22.8,48.0,95.0
0.0,19.1,64.0,276.0
0.0,18.9,68.0,42.0
0.0,18.6,69.0,20.0
0.0,18.0,73.0,350.0
0.0,18.3,68.0,70.0
0.0,16.8,76.0,331.0
0.0,16.8,75.0,284.0
0.0,22.2,59.0,148.0
0.0,25.5,47.0,210.0
0.0,25.4,47.0,107.0
0.0,25.6,43.0,86.0
0.0,27.7,39.0,67.0
0.0,28.3,37.0,73.0
0.0,29.4,29.0,62.0
0.0,28.9,33.0,73.0
0.0,28.4,31.0,94.0
0.0,29.6,30.0,136.0
0.0,29.0,31.0,116.0
0.0,28.1,34.0,95.0
0.0,26.7,38.0,108.0
0.0,25.6,45.0,106.0
0.0,24.8,47.0,94.0
0.0,23.7,53.0,53.0
0.0,20.7,66.0,41.0
0.0,22.2,62.0,35.0
0.0,20.5,68.0,314.0
0.0,19.8,74.0,343.0
0.0,17.9,84.0,277.0
0.0,17.8,84.0,294.0
0.0,17.9,84.0,239.0
0.0,17.8,84.0,86.0
0.0,21.4,74.0,21.0
0.0,24.5,55.0,9.0
0.0,26.1,46.0,69.0
0.0,26.7,45.0,72.0
0.0,27.9,37.0,53.0
0.0,28.4,35.0,75.0
0.0,29.2,32.0,59.0
0.0,30.1,29.0,113.0
0.0,30.4,27.0,79.0
0.0,29.4,28.0,64.0
0.0,29.0,27.0,83.0
0.0,28.0,26.0,100.0
0.0,26.7,30.0,99.0
0.0,25.3,35.0,95.0
0.0,24.4,40.0,108.0
0.0,23.8,42.0,101.0
0.0,22.3,48.0,102.0
0.0,22.6,45.0,103.0
0.0,21.3,51.0,99.0
0.0,19.8,58.0,97.0
0.0,18.9,62.0,117.0
0.0,17.0,71.0,308.0
0.0,16.4,74.0,317.0
0.0,17.0,68.0,10.0
0.0,22.0,53.0,88.0
0.0,24.8,40.0,44.0
0.0,25.5,41.0,91.0
0.0,27.0,39.0,58.0
0.0,28.0,36.0,48.0
0.0,29.2,31.0,108.0
0.0,29.6,30.0,103.0
0.0,29.4,27.0,79.0
0.0,30.2,26.0,73.0
0.0,29.8,27.0,75.0
0.0,29.3,28.0,107.0
0.0,28.4,31.0,111.0
0.0,27.0,35.0,119.0
0.0,25.8,38.0,118.0
0.0,25.4,40.0,105.0
0.0,23.4,50.0,124.0
0.0,23.9,51.0,123.0
0.0,23.7,51.0,108.0
0.0,23.2,52.0,115.0
0.0,23.0,53.0,116.0
0.0,23.3,52.0,115.0
0.0,22.2,57.0,125.0
0.0,21.1,65.0,113.0
0.0,20.4,71.0,104.0
0.0,21.3,69.0,105.0
0.0,22.4,68.0,85.0
0.0,23.5,64.0,80.0
0.0,24.8,58.0,96.0
0.0,26.0,53.0,67.0
0.0,27.4,49.0,59.0
0.0,27.6,44.0,117.0
0.0,29.3,39.0,101.0
0.0,28.9,39.0,61.0
0.0,28.9,37.0,121.0
0.0,29.0,38.0,98.0
0.0,27.7,42.0,103.0
0.0,23.4,63.0,277.0
0.0,22.1,72.0,349.0
0.0,21.5,70.0,321.0
0.0,21.5,71.0,299.0
0.0,22.0,69.0,242.0
0.0,20.9,77.0,224.0
3.8,19.7,89.0,245.0
1.0,19.2,90.0,284.0
0.0,19.5,86.0,182.0
3.2,18.8,92.0,210.0
0.8,18.7,93.0,222.0
0.0,19.2,91.0,183.0
0.0,20.1,90.0,316.0
0.2,20.8,86.0,287.0
0.0,23.1,72.0,150.0
0.0,24.9,64.0,135.0
0.0,21.6,80.0,163.0
0.0,19.6,89.0,163.0
0.8,19.7,91.0,151.0
1.2,21.9,80.0,291.0
0.0,24.6,65.0,332.0
0.0,24.5,62.0,13.0
0.0,25.8,55.0,300.0
0.0,22.4,76.0,46.0
0.0,22.1,75.0,59.0
0.2,21.9,75.0,105.0
0.0,21.7,73.0,70.0
0.0,20.4,87.0,47.0
0.0,19.4,89.0,271.0
0.0,19.7,90.0,360.0
0.0,19.9,85.0,348.0
0.0,20.0,79.0,7.0
0.0,19.5,83.0,359.0
0.0,19.5,86.0,344.0
0.0,19.4,87.0,323.0
0.0,19.6,86.0,116.0
0.0,20.4,82.0,28.0
0.0,21.5,76.0,108.0
0.0,21.7,80.0,54.0
0.0,22.8,71.0,351.0
0.0,23.5,68.0,341.0
0.0,22.3,74.0,210.0
1.8,20.7,85.0,153.0
0.0,22.5,75.0,180.0
0.0,24.6,67.0,161.0
0.0,25.6,61.0,79.0
0.0,24.1,67.0,92.0
0.0,19.3,88.0,332.0
11.0,18.9,93.0,333.0
0.4,18.5,92.0,75.0
5.2,18.8,92.0,35.0
1.6,18.8,93.0,344.0
0.0,19.1,93.0,45.0
0.0,19.0,93.0,167.0
0.0,18.3,93.0,329.0
0.0,18.0,94.0,328.0
0.0,18.2,94.0,319.0
0.0,18.4,93.0,307.0
0.0,18.5,93.0,9.0
0.0,18.3,93.0,339.0
0.0,20.2,85.0,347.0
0.0,21.6,81.0,355.0
0.0,22.2,77.0,319.0
0.0,22.6,74.0,314.0
0.0,24.1,69.0,329.0
0.0,24.9,64.0,322.0
0.0,25.9,57.0,298.0
0.0,26.7,53.0,343.0
0.0,25.3,62.0,336.0
25.6,19.7,93.0,129.0
0.0,21.3,84.0,215.0
0.0,21.7,83.0,285.0
0.0,20.4,90.0,2.0
